TABLE 1
g70c4C -> !!!VGS
R!gTdM -> !!!qW!
c24nPY -> !!13NZ
jrF8sg -> !!15fm
fvePFk -> !!1p82
KGEpbO -> !!1vb!
Pn4gB7 -> !!22eh
WzYJ5E -> !!2fLy
Q5OtwB -> !!5KVq
ZXsRBe -> !!5bOD
!j!71n -> !!7JvT
X6gTqV -> !!81uP
cC!!eN -> !!9FWo
VTcZwQ -> !!9TTG
NfniMP -> !!@ZbC
nOnNbW -> !!@in1
HgQ9Is -> !!Bdbl
m7ETAQ -> !!Cr8h
L6pCie -> !!E7wK
Ux09Pk -> !!GbcN
2Escwy -> !!JPSC
N3ZteK -> !!McKK
m!rg01 -> !!O3Ag
LnfCNe -> !!P37w
v8lSQJ -> !!QelD
Hj7AaS -> !!R8hC
M6E8If -> !!RiOa
4geh@J -> !!RpjM
wBwwAB -> !!SaMF
Grz8rk -> !!WigI
b1DiqD -> !!X5Zd
pH6y3R -> !!XhcJ
h6H!uR -> !!Xhcd
NSdWJa -> !!ZS8l
e3iJs5 -> !!b1QG
Smk@3p -> !!gtzV
M@K7gW -> !!h0nC
9oNq75 -> !!hRkN
jhFmg@ -> !!hze1
gfPeCa -> !!iFsq
Rf7axd -> !!jK8v
0xvUmx -> !!k2UF
pAKIV9 -> !!lino
8ByYKz -> !!njPA
@QG!IO -> !!q76Y
Y1VIYd -> !!sNMV
9ZWYgr -> !!wnXZ
gx7eJP -> !!yqxv
pbuppW -> !00ZkN
jAVm3p -> !014mH
!FqhrS -> !01Q3e
xuURsp -> !02QAr
UatkE9 -> !02zwQ
YVoFD@ -> !06G7K
IEigmJ -> !06ngR
aeQZU2 -> !0Brsb
EG2WDO -> !0CGyI
TW6H5V -> !0CMH1
DIJZuP -> !0EiQX
8eEur6 -> !0FCuV
JlfqDA -> !0I8c0
hRNTEd -> !0IMMr
vxEaKN -> !0Jjcz
b0w91b -> !0Klbd
1stYac -> !0KpJW
VwmxYL -> !0LPbA
@kbFN5 -> !0Ly9V
ccMNxT -> !0MLOS
cuMo3L -> !0MOzl
8IWBDV -> !0MP6l
JH3VWo -> !0NhL4
R5d7nI -> !0Nqo6
NFv5Cy -> !0PFIR
aYvAgX -> !0QiNs
28qHdo -> !0RQYS
sNA1Pn -> !0SEua
qMQQEt -> !0TcMW
M9Kuu3 -> !0Tk@E
Sn@UX6 -> !0UfdG
dZJLeT -> !0VAF0
E0wV7K -> !0bD40
XjyO7W -> !0bd@y
AH!vV2 -> !0e@eb
UpnsZ8 -> !0g2!r
lqUpWX -> !0hawn
a1zrkx -> !0iQdP
80VMJd -> !0kh5p
CCjoBH -> !0nBI6
rclDx4 -> !0nMYo
brDiV6 -> !0symm
Sj7eze -> !0tof4
EGCYt6 -> !0tv5I
EHl1pn -> !0v7Ia
hEUhVZ -> !0vjED
XTf1Ta -> !0x8f0
qmh8wz -> !130gG
AQc6Ua -> !136so
ckDTBY -> !19DTd
IyB1ZV -> !1AN@D
98zEh3 -> !1APkY
GykHbk -> !1CVE2
WOLavt -> !1GT2e
UEbG13 -> !1GUGZ
aXpMby -> !1Gdrk
4bw0zY -> !1Glfl
Z9hGDr -> !1H1K1
3syCuk -> !1I!YN
y4y0nB -> !1IbNf
n!sLzF -> !1InhR
nZ1dkH -> !1JI@z
7eLDXx -> !1JLy2
MJceXM -> !1NmSL
!h0pHn -> !1OkhQ
DnrUm2 -> !1PTsL
g!4m18 -> !1R75F
wRi@rc -> !1S0Wz
6AM@tm -> !1Unb7
vBWIqc -> !1WgHT
lojY1v -> !1XC7a
1zZKtU -> !1XlyM
4vRkTv -> !1YiEP
e8XtPN -> !1am3Y
bCFUKW -> !1cdfY
zbVVST -> !1d3Tr
rugyrD -> !1dNcG
l8OX6v -> !1dirg
2o0W@4 -> !1e0j8
WIjcfi -> !1fF!W
btyV4e -> !1fzQv
MKym1p -> !1i6kk
2mPplR -> !1jfDO
jx3Nma -> !1jlQB
7yfYD1 -> !1khsx
LGF6be -> !1lqAM
KFRyeV -> !1mJfS
B2kkiC -> !1nFLM
qojT76 -> !1nP9@
UtFTzs -> !1o66X
f3Y8QE -> !1t!We
NBXumm -> !1tb1G
0s4BVZ -> !1tcp3
ZxfIZ6 -> !1ttyW
MNVnJR -> !1vSU2
q51Juh -> !1vTAC
LjugIy -> !1vnla
OG8i3Z -> !1xlSZ
M15erD -> !1y@b9
QI6S6k -> !2!Q3y
d0RAKM -> !20@uo
ofswyK -> !20Y4M
rFj1Vc -> !2175L
kRRqmG -> !21kDG
0RaRiv -> !25aP4
kgsnEL -> !25y8y
VYaBen -> !26fZ@
oksRpd -> !28fLf
as5Fyn -> !2@l4@
tUnYPm -> !2ANc6
N!O8MJ -> !2Am2Q
NvutNI -> !2BVGl
4jVLQp -> !2C3Ct
ICAOeF -> !2EYZy
@6sGkP -> !2FFfv
5NGHaY -> !2GHMw
K60pxN -> !2HrW0
K2V6XZ -> !2K33L
plU@Nk -> !2LRe5
CiCxP3 -> !2Lkmg
s0cdnl -> !2Osr1
IlEqVY -> !2POdx
SZ!T!6 -> !2Q@nj
b6i60i -> !2V7q4
bNH2!v -> !2aovf
dPBWOv -> !2auAz
OpEt5b -> !2dPTz
M7Yq2h -> !2do2g
dpTHKO -> !2fONZ
UqbaJg -> !2geDF
eqZNI6 -> !2iUjh
QHfm@A -> !2kIU1
FkzDla -> !2l0Bt
iAOFhJ -> !2nsYo
Ei0VyQ -> !2psNn
8G0gbg -> !2uPbe
79QoVs -> !2we0U
!AVfgk -> !2yBtH
WGIMau -> !3!4Mf
4AZFO6 -> !3!fTO
81@GjR -> !31TI8
D17FiJ -> !31tPG
7vuhuj -> !33OuG
t7X@Nr -> !35p5k
Povknl -> !37dkt
GT30lH -> !38g3J
cyLGQK -> !3ADk4
jXL2qU -> !3BbUZ
u3AYga -> !3HDqH
BGTtoG -> !3Iq2W
javX13 -> !3JExd
